n,type,rep,greedy_len,greedy_time,christo_len,christo_time,opt_len,opt_time,lb
20,random,19,5.303091,0.000067,4.458927,0.003088,,,3.140595
20,random,20,4.613397,0.000129,4.270344,0.001323,,,3.115513
20,random,21,3.840041,0.000066,3.750651,0.001991,,,2.656653
20,random,22,4.192206,0.000104,4.203352,0.001994,,,3.153998
20,random,23,4.955392,0.000066,4.375557,0.002436,,,3.088819
20,random,24,4.533784,0.000134,3.896027,0.001317,,,2.837164
20,random,25,4.242380,0.000131,3.852284,0.001561,,,3.122703
20,random,26,3.899120,0.000072,3.829887,0.002000,,,2.734430
20,random,27,4.125165,0.000134,3.877938,0.001743,,,2.819888
20,random,28,4.110410,0.000065,3.802633,0.001361,,,3.126149
20,random,29,4.080018,0.000065,3.849104,0.002389,,,3.087816
20,random,30,4.206662,0.000066,3.683657,0.002144,,,2.580755
20,random,31,4.712029,0.000148,4.224018,0.001581,,,3.207999
20,random,32,4.105516,0.000111,3.935131,0.001387,,,3.258262
20,random,33,3.132664,0.000078,2.941762,0.001565,,,2.500473
20,random,34,4.445772,0.000066,3.994250,0.001326,,,2.974728
20,random,35,4.444949,0.000066,4.150486,0.001678,,,2.906832
20,random,36,4.441692,0.000130,4.899689,0.002153,,,3.322726
20,random,37,5.112439,0.000176,4.688402,0.001511,,,3.142375
20,random,38,4.462378,0.000133,4.355099,0.002600,,,3.194610
20,random,39,6.013929,0.000065,5.050925,0.001601,,,3.584238
20,random,40,5.019369,0.000064,4.079918,0.002393,,,2.840024
20,random,41,4.487724,0.000167,4.662829,0.002608,,,3.288816
20,random,42,4.634787,0.000131,4.151383,0.002911,,,3.011512
20,random,43,4.453965,0.000191,4.012677,0.001730,,,2.675976
20,random,44,4.161009,0.000072,3.994924,0.001753,,,2.684038
20,random,45,4.581681,0.000068,4.341635,0.001570,,,3.157997
20,random,46,5.147192,0.000131,4.111477,0.002183,,,3.000784
20,random,47,3.947004,0.000162,3.901880,0.001427,,,2.711759
20,random,48,5.862194,0.000072,4.689442,0.002097,,,3.496365
20,random,49,4.776769,0.000084,4.560395,0.001680,,,3.261572
20,clustered,0,2.484323,0.000064,2.376727,0.001467,,,1.423869
20,clustered,1,1.789572,0.000083,1.758458,0.004301,,,1.149531
20,clustered,2,2.778136,0.000068,2.930487,0.002395,,,1.800012
20,clustered,3,2.360988,0.000069,2.334158,0.002206,,,1.422314
20,clustered,4,2.037634,0.000070,2.057662,0.001716,,,1.395261
20,clustered,5,3.099829,0.000063,2.869621,0.002101,,,1.861874
20,clustered,6,3.144807,0.000064,3.087593,0.001222,,,2.109978
20,clustered,7,2.690417,0.000063,2.427006,0.001706,,,1.440000
20,clustered,8,2.712696,0.000089,2.619735,0.001410,,,1.719227
20,clustered,9,2.736728,0.000073,2.460033,0.002172,,,1.610002
20,clustered,10,2.078817,0.000063,1.961402,0.002226,,,1.269879
20,clustered,11,2.004479,0.000076,2.027428,0.002813,,,1.280346
20,clustered,12,2.552108,0.000068,2.174110,0.001447,,,1.543879
20,clustered,13,2.136082,0.000063,1.974743,0.001813,,,1.170969
20,clustered,14,2.637520,0.000063,2.624201,0.001741,,,1.419910
20,clustered,15,2.357628,0.000067,2.335759,0.001734,,,1.366185
20,clustered,16,2.703307,0.000064,2.722466,0.002556,,,1.645115
20,clustered,17,2.662334,0.000063,2.465203,0.001691,,,1.426870
20,clustered,18,1.458159,0.000133,1.282900,0.002262,,,0.799288
20,clustered,19,2.754483,0.000065,2.457054,0.001752,,,1.493418
20,clustered,20,3.413810,0.000090,3.329702,0.001727,,,2.010755
20,clustered,21,2.429471,0.000095,2.198104,0.001926,,,1.533411
20,clustered,22,1.870180,0.000069,1.791773,0.002718,,,1.247913
20,clustered,23,2.142558,0.000063,1.952983,0.001758,,,1.240047
20,clustered,24,1.809081,0.000063,1.914115,0.003994,,,1.216680
20,clustered,25,3.009899,0.000070,3.065283,0.002304,,,1.818097
20,clustered,26,2.303306,0.000063,2.079448,0.001684,,,1.394375
20,clustered,27,2.488140,0.000103,2.234660,0.001475,,,1.427069
20,clustered,28,1.863989,0.000076,1.952724,0.002082,,,1.164306
20,clustered,29,2.459527,0.000063,2.346111,0.001687,,,1.650081
20,clustered,30,3.302073,0.000062,2.974382,0.001422,,,2.013922
20,clustered,31,2.008271,0.000100,1.684894,0.001915,,,1.021688
20,clustered,32,2.298079,0.000064,2.371093,0.002201,,,1.428662
20,clustered,33,2.191319,0.000064,2.109433,0.001440,,,1.206761
20,clustered,34,2.054074,0.000063,1.903310,0.001760,,,1.186781
20,clustered,35,2.508808,0.000063,2.506428,0.001443,,,1.552214
20,clustered,36,2.863934,0.000089,2.824730,0.001303,,,1.907285
20,clustered,37,2.010243,0.000064,1.773622,0.002108,,,1.063507
20,clustered,38,1.933403,0.000110,1.781949,0.001974,,,1.095786
20,clustered,39,1.616920,0.000070,1.533244,0.002781,,,1.080841
20,clustered,40,2.586863,0.000067,2.610440,0.002145,,,1.586791
20,clustered,41,1.913290,0.000103,1.687415,0.002593,,,1.123896
20,clustered,42,2.421229,0.000073,2.382262,0.002340,,,1.438800
20,clustered,43,2.717421,0.000069,2.517116,0.002402,,,1.471399
20,clustered,44,1.852635,0.000067,1.771472,0.003641,,,1.131603
20,clustered,45,2.055425,0.000064,2.114341,0.002815,,,1.205747
20,clustered,46,2.902156,0.000063,2.522357,0.001788,,,1.460049
20,clustered,47,2.338509,0.000064,2.276091,0.003584,,,1.492893
20,clustered,48,1.397260,0.000072,1.417616,0.001756,,,1.051868
20,clustered,49,2.195953,0.000063,2.164642,0.001454,,,1.212698
50,random,0,6.595043,0.000285,5.711845,0.011595,,,4.609020
50,random,1,6.667955,0.000292,7.086846,0.016424,,,5.202291
50,random,2,7.657147,0.000284,6.810245,0.008263,,,5.013604
50,random,3,8.059776,0.000280,6.922182,0.014991,,,5.358841
50,random,4,6.555892,0.000279,6.205389,0.010894,,,4.809083
50,random,5,8.802181,0.000292,6.305396,0.009946,,,4.944051
50,random,6,7.372505,0.000293,6.379673,0.007795,,,5.020863
50,random,7,7.561431,0.000280,6.624237,0.012264,,,4.847868
50,random,8,7.214227,0.000293,6.466571,0.017227,,,5.028023
50,random,9,6.640044,0.000286,6.391723,0.015398,,,4.745691
50,random,10,7.690841,0.000287,6.389819,0.010968,,,5.076304
50,random,11,6.696469,0.000281,5.852148,0.014985,,,4.216128
50,random,12,6.950374,0.000288,6.866740,0.012732,,,5.094824
50,random,13,7.210593,0.000283,6.740304,0.011774,,,5.248660
50,random,14,7.299708,0.000284,6.721815,0.011240,,,5.025451
50,random,15,6.785713,0.000302,6.173428,0.010236,,,4.722189
50,random,16,7.527335,0.000289,6.947158,0.009882,,,5.180266
50,random,17,8.409930,0.000293,6.838205,0.011911,,,5.244383
50,random,18,6.452964,0.000283,6.231390,0.009070,,,4.889056
50,random,19,7.416913,0.000278,6.549441,0.013854,,,4.819985
50,random,20,6.938527,0.000277,5.922351,0.007216,,,4.997221
50,random,21,7.131300,0.000271,5.869439,0.010151,,,4.693801
50,random,22,7.154275,0.000275,6.544319,0.010621,,,4.896619
50,random,23,6.923837,0.000288,7.067048,0.019006,,,5.030401
50,random,24,6.713733,0.000280,6.188348,0.013721,,,4.612126
50,random,25,7.123142,0.000286,5.909138,0.010893,,,4.595614
50,random,26,6.418816,0.000276,6.064690,0.008988,,,4.624630
50,random,27,6.571440,0.000286,6.323182,0.010395,,,4.794097
50,random,28,6.216086,0.000276,5.617898,0.009239,,,4.445906
50,random,29,7.189506,0.000278,5.859673,0.009697,,,4.466237
50,random,30,6.841246,0.000276,6.524272,0.010119,,,4.873381
50,random,31,6.598912,0.000275,6.142666,0.008172,,,4.853100
50,random,32,6.778202,0.000277,5.961184,0.011790,,,4.443050
50,random,33,7.434538,0.000288,6.584713,0.013429,,,5.087058
50,random,34,7.108320,0.000278,6.298588,0.012719,,,4.756465
50,random,35,7.080353,0.000279,6.356317,0.012032,,,4.872525
50,random,36,7.362695,0.000274,6.575101,0.009791,,,5.141311
50,random,37,7.147422,0.000283,6.410439,0.016644,,,4.691331
50,random,38,7.986546,0.000286,6.569735,0.009170,,,5.002096
50,random,39,7.157497,0.000271,6.232888,0.014611,,,4.488124
50,random,40,6.395577,0.000287,6.007753,0.012593,,,4.764675
50,random,41,7.457699,0.000286,6.304121,0.014670,,,4.784803
50,random,42,7.185223,0.000275,6.137179,0.010866,,,4.659293
50,random,43,7.250082,0.000284,6.540589,0.012522,,,4.904167
50,random,44,7.172834,0.000286,6.493004,0.009466,,,4.839324
50,random,45,5.974555,0.000281,6.446008,0.008814,,,4.858295
50,random,46,7.578541,0.000280,7.146831,0.013215,,,5.238297
50,random,47,6.436236,0.000281,6.415874,0.018709,,,4.871287
50,random,48,7.099018,0.000290,6.427678,0.010851,,,5.024941
50,random,49,6.269718,0.000282,6.111560,0.016373,,,4.525044
50,clustered,0,3.693927,0.000283,2.636959,0.010761,,,1.794718
50,clustered,1,2.442640,0.000279,2.301428,0.013124,,,1.546238
50,clustered,2,4.070378,0.000278,3.617062,0.014547,,,2.423796
50,clustered,3,4.414438,0.000274,3.336727,0.013175,,,2.182610
50,clustered,4,3.578656,0.000290,3.273138,0.015189,,,2.164251
50,clustered,5,3.061523,0.000282,2.912428,0.022320,,,1.966929
50,clustered,6,2.032720,0.000276,1.717339,0.012578,,,1.225474
50,clustered,7,4.154029,0.000277,3.486942,0.010102,,,2.195464
50,clustered,8,2.714672,0.000283,2.414373,0.008560,,,1.622472
50,clustered,9,3.697575,0.000293,3.223567,0.010526,,,2.223588
50,clustered,10,2.985322,0.000286,2.569175,0.013741,,,1.807533
50,clustered,11,3.331128,0.000278,3.111849,0.010257,,,2.011674
50,clustered,12,3.013199,0.000263,2.707051,0.008699,,,1.820070
50,clustered,13,3.987495,0.000278,3.426089,0.007278,,,2.159728
50,clustered,14,3.869373,0.000273,3.355403,0.008328,,,2.241251
50,clustered,15,3.688530,0.000302,2.878551,0.011817,,,1.962785
50,clustered,16,2.986829,0.000278,2.693643,0.017902,,,1.867131
50,clustered,17,3.257558,0.000277,2.789949,0.016285,,,1.989558
50,clustered,18,3.484840,0.000278,3.363002,0.013457,,,2.210448
50,clustered,19,3.328399,0.000277,2.859781,0.016964,,,1.942105
50,clustered,20,3.555011,0.000280,3.388211,0.009839,,,2.294203
50,clustered,21,2.607377,0.000274,2.404562,0.018523,,,1.700715
50,clustered,22,3.994772,0.000287,3.668115,0.012028,,,2.374616
50,clustered,23,1.613550,0.000268,1.641440,0.012223,,,1.274147
50,clustered,24,3.701175,0.000282,3.462713,0.018839,,,2.294594
50,clustered,25,2.880486,0.000279,2.355090,0.016423,,,1.716634
50,clustered,26,3.504896,0.000419,3.116062,0.012658,,,2.173381
50,clustered,27,3.310990,0.000274,3.064377,0.017735,,,2.144782
50,clustered,28,3.171304,0.000284,2.716908,0.010974,,,1.826862
50,clustered,29,3.853828,0.000276,3.482735,0.008653,,,2.308553
50,clustered,30,2.724158,0.000276,2.267978,0.010378,,,1.522686
50,clustered,31,3.466722,0.000280,2.931138,0.011639,,,1.959258
50,clustered,32,2.752404,0.000283,2.593359,0.010398,,,1.855137
50,clustered,33,3.393897,0.000713,2.828573,0.017737,,,2.021258
50,clustered,34,3.397988,0.000272,3.244050,0.010614,,,2.169847
50,clustered,35,3.175435,0.000282,2.478536,0.022338,,,1.675668
50,clustered,36,2.158273,0.000294,1.936978,0.012052,,,1.449566
50,clustered,37,3.285635,0.000278,2.943509,0.011137,,,2.007768
50,clustered,38,3.539734,0.000302,3.266340,0.007104,,,2.251057
50,clustered,39,3.474620,0.000280,3.121160,0.011093,,,2.065175
50,clustered,40,2.828005,0.000287,2.412168,0.015304,,,1.625206
50,clustered,41,3.957416,0.000294,3.503924,0.010091,,,2.194686
50,clustered,42,2.853470,0.000285,2.390963,0.015395,,,1.723466
50,clustered,43,3.532974,0.000295,3.336717,0.009288,,,2.348008
50,clustered,44,4.031151,0.000291,3.362901,0.011319,,,2.188527
50,clustered,45,4.344306,0.000347,3.936503,0.008413,,,2.633696
50,clustered,46,4.248430,0.000282,3.931602,0.018010,,,2.486289
50,clustered,47,2.861753,0.000338,2.391947,0.012091,,,1.717705
50,clustered,48,3.769199,0.000295,3.598761,0.015353,,,2.254210
50,clustered,49,2.510687,0.000292,2.291206,0.007941,,,1.544922
100,random,0,9.240275,0.001040,8.431305,0.073693,,,6.487204
100,random,1,9.936915,0.001489,8.912749,0.255872,,,6.769500
100,random,2,9.280040,0.001667,8.377493,0.145074,,,6.587229
100,random,3,10.086265,0.001619,8.944432,0.092153,,,6.751342
100,random,4,9.338615,0.001185,8.760508,0.158514,,,6.802518
100,random,5,10.902052,0.001758,9.028492,0.114260,,,7.080908
100,random,6,9.130941,0.001357,8.698517,0.106709,,,6.804606
100,random,7,9.549145,0.001719,8.583247,0.121094,,,6.589702
100,random,8,9.645082,0.001689,8.700236,0.073720,,,6.937003
100,random,9,9.231604,0.001907,8.283597,0.081368,,,6.461366
100,random,10,9.568391,0.001612,8.692190,0.156930,,,6.607859
100,random,11,9.311451,0.001708,8.887214,0.147751,,,6.739381
100,random,12,9.705000,0.001109,8.766920,0.116187,,,7.033422
100,random,13,10.458833,0.001807,8.619541,0.072957,,,6.950389
